tf,confidence,target,mor,likelihood
Adnp2,E,Dcun1d3,1,1
Adnp2,E,Ddx19b,1,1
Adnp2,E,Ddx21,1,1
Adnp2,E,Ddx24,1,1
Adnp2,E,Ddx47,1,1
Adnp2,E,Dennd2c,1,1
Adnp2,E,Dhx15,1,1
Adnp2,E,Dhx36,1,1
Adnp2,E,Dhx8,1,1
Adnp2,E,Diablo,1,1
Adnp2,E,Dis3,1,1
Adnp2,E,Dis3l2,1,1
Adnp2,E,Dnttip2,1,1
Adnp2,E,Eaf1,1,1
Adnp2,E,Eif4a1,1,1
Adnp2,E,Eif5,1,1
Adnp2,E,Ell,1,1
Adnp2,E,Ell2,1,1
Adnp2,E,Emg1,1,1
Adnp2,E,Eogt,1,1
Adnp2,E,Etv3,1,1
Adnp2,E,Exoc8,1,1
Adnp2,E,Faf2,1,1
Adnp2,E,Fam189b,1,1
Adnp2,E,Fam91a1,1,1
Adnp2,E,Fastkd2,1,1
Adnp2,E,Fem1c,1,1
Adnp2,E,Fktn,1,1
Adnp2,E,Fnbp4,1,1
Adnp2,E,Fnip1,1,1
Adnp2,E,Fnip2,1,1
Adnp2,E,Fosl2,1,1
Adnp2,E,Foxj3,1,1
Adnp2,E,Gapvd1,1,1
Adnp2,E,Gatad2b,1,1
Adnp2,E,Gk,1,1
Adnp2,E,Gmeb2,1,1
Adnp2,E,Gon4l,1,1
Adnp2,E,Gtpbp1,1,1
Adnp2,E,Gtpbp4,1,1
Adnp2,E,H1f0,1,1
Adnp2,E,H1fx,1,1
Adnp2,E,H3f3b,1,1
Adnp2,E,Haus2,1,1
Adnp2,E,Hipk1,1,1
Adnp2,E,Hnrnpa0,1,1
Adnp2,E,Hnrnpl,1,1
Adnp2,E,Htra2,1,1
Adnp2,E,Iars,1,1
Adnp2,E,Ikzf5,1,1
Adnp2,E,Ist1,1,1
Adnp2,E,Jarid2,1,1
Adnp2,E,Kdm5a,1,1
Adnp2,E,Kdm5b,1,1
Adnp2,E,Kdm7a,1,1
Adnp2,E,Lamtor2,1,1
Adnp2,E,Larp4,1,1
Adnp2,E,Larp4b,1,1
Adnp2,E,Lemd3,1,1
Adnp2,E,Lig3,1,1
Adnp2,E,Lmtk2,1,1
Adnp2,E,Lonrf1,1,1
Adnp2,E,Lrrc40,1,1
Adnp2,E,Lrrc8b,1,1
Adnp2,E,Lrrfip2,1,1
Adnp2,E,Luc7l2,1,1
Adnp2,E,Mapk1ip1l,1,1
Adnp2,E,Mapk1ip1,1,1
Adnp2,E,Mapk6,1,1
Adnp2,E,Mapk8,1,1
Adnp2,E,Mar-06,1,1
Adnp2,E,Mastl,1,1
Adnp2,E,Med13,1,1
Adnp2,E,Med14,1,1
Adnp2,E,Mfsd14a,1,1
Adnp2,E,Midn,1,1
Adnp2,E,Mkks,1,1
Adnp2,E,Mon1a,1,1
Adnp2,E,Mrpl51,1,1
Adnp2,E,Mthfr,1,1
Adnp2,E,Mtmr7,1,1
Adnp2,E,Mtpap,1,1
Adnp2,E,Mysm1,1,1
Adnp2,E,Naa15,1,1
Adnp2,E,Naa25,1,1
Adnp2,E,Naa35,1,1
Adnp2,E,Naf1,1,1
Adnp2,E,Necap1,1,1
Adnp2,E,Nfx1,1,1
Adnp2,E,Nop58,1,1
Adnp2,E,Nsrp1,1,1
Adnp2,E,Nup153,1,1
Adnp2,E,Nup155,1,1
Adnp2,E,Nupl1,1,1
Adnp2,E,Paqr3,1,1
Adnp2,E,Pcf11,1,1
Adnp2,E,Peli1,1,1
Adnp2,E,Per2,1,1
Adnp2,E,Piga,1,1
Adnp2,E,Pip5k1a,1,1
Adnp2,E,Pmm2,1,1
Adnp2,E,Polr3a,1,1
